Date	Time0 Sensor0	Time1 Sensor1	Time2 Sensor2	Time3 Sensor3	Time4 Sensor4
11/30/2011	17:50:00 2522.643024	17:50:03 2522.643024	17:50:05 2270.361356	17:50:08 2270.820851	17:50:11 3177.833186
11/30/2011	17:50:15 2524.557581	17:50:18 2524.078887	17:50:20 2272.199543	17:50:23 2271.739945	17:50:26 3313.830652
11/30/2011	17:50:30 2525.036312	17:50:33 2525.036312	17:50:35 2272.659176	17:50:38 2272.659176	17:50:41 3272.307505
11/30/2011	17:50:45 2525.036312	17:50:48 2525.036312	17:50:50 2271.280380	17:50:53 2270.820851	17:50:56 3229.974160
11/30/2011	17:51:00 2522.164476	17:51:03 2521.685964	17:51:05 2268.064395	17:51:08 2268.064395	17:51:11 3269.082810
11/30/2011	17:51:15 2521.207489	17:51:18 2521.207489	17:51:20 2268.983076	17:51:23 2268.983076	17:51:26 3248.160427
11/30/2011	17:51:30 2522.164476	17:51:33 2522.643024	17:51:35 2269.901895	17:51:38 2270.361356	17:51:41 3207.577590
11/30/2011	17:51:45 2524.557581	17:51:48 2525.515080	17:51:50 2273.118843	17:51:53 2273.578545	17:51:56 3223.033776
11/30/2011	17:52:00 2528.388453	17:52:03 2529.825635	17:52:05 2277.717412	17:52:08 2278.177458	17:52:11 3248.160427
11/30/2011	17:52:15 2532.700987	17:52:18 2533.659731	17:52:20 2280.938460	17:52:23 2281.398748	17:52:26 3267.471050
11/30/2011	17:52:30 2537.016490	17:52:33 2537.496174	17:52:35 2286.003524	17:52:38 2286.924894	17:52:41 3252.982811
11/30/2011	17:52:45 2543.735406	17:52:48 2545.176110	17:52:50 2294.762119	17:52:53 2297.530586	17:52:56 3275.533768
11/30/2011	17:53:00 2557.194865	17:53:03 2558.638663	17:53:05 2305.843473	17:53:08 2308.616933	17:53:11 3271.232433
11/30/2011	17:53:15 2563.935432	17:53:18 2564.417178	17:53:20 2310.929105	17:53:23 2311.391644	17:53:26 3273.382752
11/30/2011	17:53:30 2567.790435	17:53:33 2568.754555	17:53:35 2316.481864	17:53:38 2317.870837	17:53:41 3283.606292
11/30/2011	17:53:45 2576.955554	17:53:48 2579.852580	17:53:50 2328.066215	17:53:53 2332.241918	17:53:56 3330.078920
11/30/2011	17:54:00 2596.294303	17:54:03 2601.138286	17:54:05 2351.300415	17:54:08 2357.355659	17:54:11 3332.248352
11/30/2011	17:54:15 2625.900667	17:54:18 2632.715216	17:54:20 2382.571893	17:54:23 2392.406021	17:54:26 3339.303888
11/30/2011	17:54:30 2666.408968	17:54:33 2668.367741	17:54:35 2414.002122	17:54:38 2422.473273	17:54:41 3386.167736
11/30/2011	17:54:45 2681.605325	17:54:48 2679.642456	17:54:50 2428.598521	17:54:53 2432.842616	17:54:56 3364.329703
